"x"
"1";69,5
"2";107,51
"3";77,02
"4";99,63
"5";108,89
"6";97,03
"7";113,38
"8";99,61
"9";90,29
"10";109,7
"11";93,49
"12";126,59
"13";99,73
"14";112,79
"15";103,08
"16";54,88
"17";79,51
"18";93,64
"19";103,55
"20";64,86
"21";114,43
"22";90,93
"23";88,71
"24";76,67
"25";78,19
"26";100,84
"27";107,64
"28";68,53
"29";84,93
"30";108,04
"31";93,2
"32";132,48
"33";118,69
"34";108,93
"35";100,07
"36";104,19
"37";89,41
"38";109,42
"39";122,2
"40";116,25
"41";87,8
"42";75,72
"43";98,36
"44";106,61
"45";120,26
"46";80,22
"47";105,47
"48";103,5
"49";117,91
"50";99,58
